窗口名,地点,餐品,价格
,,辣子鸡丁粉（面）,9元
,,炸酱粉（面）,9元
,,辣椒炒肉粉（面）,7元
,,木耳炒肉粉（面）,7元
,,香干炒肉粉（面）,7元
,,番茄炒蛋粉（面）,7元
,,酸辣粉,7元
,,卤粉（面）,7元
,,热干面,7元
,,手工面（河南烩面）,12元
,,拉面,12元
,,刀削面,12元
,,煎鸡蛋,1.5元
,,卤蛋,1.5元
,,打包碗,0.5元/个
,,馄饨大份（22个/份）,10元
,,馄饨小份（16个/份）,8元
,,水饺大份（22个/份）,10元
,,水饺小份（17个/份）,8元
北京烤鸭热卤饭,一食堂三楼,招牌北京烤鸭热卤饭,13元
,,热卤牛肉饭,13元
,,热卤三合一,12元
,,小鸡腿饭,12元
,,热卤排骨饭,12元
,,手撕鸡饭,11元
,,下饭捆鸡,10元
,,任意双拼,10-14元
